"BehaviorSpace results (NetLogo 6.1.0)"
"pollution.nlogo"
"experiment"
"04/06/2022 12:41:06:021 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","popular-dest-%","%-buses","num-people","[step]","mean [total-pollution] of patches","mean [total-pollution] of patches with [popular? = true]","mean [total-pollution] of patches with [popular? = false]"
"42","75","0.4","100","100","4.761044682625382","10.111093060415639","4.481911723784142"
"43","75","0.4","100","100","4.745079098470124","10.489564153847097","4.445366834711317"
"44","75","0.4","100","100","4.6961986811175995","9.655276469159261","4.437464187828478"
"45","75","0.4","100","100","4.699214654252013","10.075829478816658","4.418695619926897"
"46","75","0.4","100","100","4.916547837450673","10.88796090219937","4.604995851463797"
"47","75","0.4","100","100","4.814075855506855","10.539996098640325","4.51533219064771"
"48","75","0.4","100","100","4.7919387356286895","10.578105744119503","4.49005176127265"
"49","75","0.4","100","100","4.8182477974771425","10.6441021815486","4.514290177438623"
"50","75","0.4","100","100","4.797132366951096","10.445202393247458","4.502450452535636"
"51","75","0.5","100","100","4.012610298334696","8.395505966520924","3.7839374808641115"
"52","75","0.5","100","100","4.04114704994822","8.63166410205696","3.801641812446897"
"53","75","0.5","100","100","4.041469040501857","8.829655220061106","3.7916506311335483"
"54","75","0.5","100","100","4.044716577562551","9.066901146474367","3.782689556575852"
"55","75","0.5","100","100","4.147029481343459","9.135555308368222","3.8867585686291175"
"56","75","0.5","100","100","4.145203533417813","9.155713735879464","3.8837856098111243"
"57","75","0.5","100","100","4.073958733064945","9.2914739150966","3.801740549654599"
"58","75","0.5","100","100","3.992060641234606","8.96230425990271","3.73274358286931"
"59","75","0.5","100","100","3.9852139923191245","8.812474813433104","3.733356906000136"
"60","75","0.5","100","100","4.055714901227893","9.335859405255833","3.780229101017737"
"61","75","0.6","100","100","3.2398803260464377","7.266249749993299","3.029808877840514"
"62","75","0.6","100","100","3.255367720500072","6.502794788986206","3.0859367430138382"
"63","75","0.6","100","100","3.3170075160793964","7.2396199949371915","3.112349473704209"
"64","75","0.6","100","100","3.3166682114918613","7.126857253488807","3.117875739735505"
"65","75","0.6","100","100","3.298436508075824","7.159639828098213","3.0969824218137854"
"66","75","0.6","100","100","3.326842326935522","7.38279443647772","3.115227434263761"
"67","75","0.6","100","100","3.326059872848522","7.169723834474492","3.1255208835462978"
"68","75","0.6","100","100","3.3085686792576356","7.521941191408917","3.0887405481888757"
"69","75","0.6","100","100","3.202999929191062","7.140443648982538","2.9975680829410685"
"70","75","0.6","100","100","3.268345660773623","6.702674156336813","3.089163304483371"
"71","75","0.7","100","100","2.8428385638080536","6.431559394725611","2.6556009552384383"
"72","75","0.7","100","100","2.5716132805214293","5.420256256811713","2.4229884295845436"
"73","75","0.7","100","100","2.747332838138241","5.867503133883638","2.584541344447175"
"74","75","0.7","100","100","2.7132989760402535","5.835362156486811","2.55040872314739"
"75","75","0.7","100","100","2.6355311122264506","6.245505290026029","2.447184633384735"
"76","75","0.7","100","100","2.6576572599812827","5.834803078522295","2.4918931303182728"
"77","75","0.7","100","100","2.6959466154400125","5.905351148430043","2.5284994224144537"
"78","75","0.7","100","100","2.7179565268226433","6.1351276277318165","2.539669338949124"
"79","75","0.7","100","100","2.68922332525079","5.752512335587379","2.529399550798443"
"80","75","0.7","100","100","2.5955849472977874","5.914908630885831","2.422402842067113"
"81","75","0.8","100","100","1.861379125358096","4.009056947575907","1.7493263694162988"
"82","75","0.8","100","100","1.8352590936323703","4.006732886680793","1.7219648087776693"
"83","75","0.8","100","100","1.8614141583049442","4.219359172755376","1.7383909401597026"
"84","75","0.8","100","100","1.7934756001438787","4.016770297327853","1.6774776159429725"
"85","75","0.8","100","100","1.8872701763358726","4.099477828975367","1.7718506466329438"
"86","75","0.8","100","100","1.881645923430779","4.063420489236079","1.767814206953979"
"87","75","0.8","100","100","1.9581915330298394","4.225538380199317","1.8398951757862134"
"88","75","0.8","100","100","1.9100890726143873","4.451333316269814","1.7775024164236692"
"89","75","0.8","100","100","1.877673677348807","4.4130535781282525","1.7453929868733575"
"90","75","0.8","100","100","1.8952737295519728","4.031956414181541","1.783794632962604"
"91","75","0.9","100","100","1.129888917282963","2.5168526148604493","1.0575255939310957"
"92","75","0.9","100","100","1.1613353459778843","2.653077028045187","1.0835053451743715"
"93","75","0.9","100","100","1.1208534194692563","2.5568806690423167","1.0459302586219679"
"94","75","0.9","100","100","1.1397900956215188","2.4083974360279807","1.0736018865568338"
"95","75","0.9","100","100","1.151919172185677","2.4754509525784436","1.0828653401651869"
"96","75","0.9","100","100","1.1066292496016064","2.2295578026183245","1.0480416729224749"
"97","75","0.9","100","100","1.0903509231457755","2.5677274620062898","1.0132704080747907"
"98","75","0.9","100","100","1.160519204451965","2.5547425605243563","1.087777116309058"
"99","75","0.9","100","100","1.0625576583963436","2.275670600818793","0.9992648092264756"
"100","75","0.9","100","100","1.1439268065552726","2.5210871473928536","1.0720749626854842"
"101","75","1","100","100","0.6033219791235208","1.3775913502550492","0.5629253162818764"
"102","75","1","100","100","0.6015727997333838","1.258577586637597","0.5672942891122952"
"103","75","1","100","100","0.6608870878377078","1.6389054516143633","0.6098600427710987"
"104","75","1","100","100","0.5522438346623625","1.1443804691334385","0.5213497493856097"
"105","75","1","100","100","0.6077498587400819","1.1521726435460375","0.5793451917067273"
"106","75","1","100","100","0.6405416719929999","1.4739296979605072","0.5970605575946938"
"107","75","1","100","100","0.6168751952707918","1.3482701010824176","0.5787154610545324"
"108","75","1","100","100","0.6271185836834912","1.3279687510448186","0.5905524879950753"
"109","75","1","100","100","0.6085174589706976","1.2333038786549178","0.5759199066393456"
"110","75","1","100","100","0.5731634761223797","1.2609448125307696","0.5372792324836807"
